invoice_id,branch,city,customer_type,gender,product_line,product,unit_price,quantity,tax,total,date_venda,time_venda,payment,cogs,gross_margin,gross_income,rating
INV-0001,A,São Paulo,Membro,Feminino,Beleza e Cuidados,Perfume,78.37,2,7.84,164.58,2024-02-14,19:27:00,Cartão de Débito,156.74,30.3,49.87,9.4
INV-0002,A,São Paulo,Membro,Masculino,Eletrônicos,Smartphone,285.01,9,128.25,2693.34,2024-05-22,10:48:00,Cartão de Crédito,2565.09,22.59,608.43,6.7
INV-0003,B,Rio de Janeiro,Membro,Feminino,Alimentos e Bebidas,Suco Natural,479.03,6,143.71,3017.89,2024-07-02,15:38:00,Cartão de Débito,2874.18,13.07,394.44,6.3
INV-0004,C,Brasília,Membro,Feminino,Moda e Acessórios,Camiseta,48.61,5,12.15,255.2,2024-07-04,19:12:00,Pix,243.05,34.88,89.01,7.7
INV-0005,A,São Paulo,Normal,Masculino,Beleza e Cuidados,Perfume,429.11,2,42.91,901.13,2024-07-05,12:23:00,Cartão de Crédito,858.22,21.4,192.84,6.7
INV-0006,C,Brasília,Membro,Feminino,Moda e Acessórios,Tênis,271.73,4,54.35,1141.27,2024-11-23,18:14:00,Cartão de Débito,1086.92,14.9,170.05,6.3
INV-0007,A,São Paulo,Membro,Masculino,Beleza e Cuidados,Shampoo Premium,206.57,2,20.66,433.8,2024-06-10,13:41:00,Dinheiro,413.14,16.33,70.84,9.7
INV-0008,C,Brasília,Membro,Feminino,Casa e Jardim,Almofada,78.42,9,35.29,741.07,2024-08-07,19:25:00,Dinheiro,705.78,26.17,193.94,8.5
INV-0009,A,São Paulo,Membro,Feminino,Moda e Acessórios,Tênis,431.94,3,64.79,1360.61,2024-08-04,19:04:00,Cartão de Crédito,1295.82,28.82,392.13,8.8
INV-0010,C,Brasília,Normal,Feminino,Casa e Jardim,Almofada,343.34,2,34.33,721.01,2024-05-16,20:21:00,Cartão de Crédito,686.68,30.45,219.55,7.2
INV-0011,B,Rio de Janeiro,Normal,Masculino,Eletrônicos,Notebook,477.37,5,119.34,2506.19,2024-09-16,11:55:00,Cartão de Crédito,2386.85,39.16,981.42,8.6
INV-0012,C,Brasília,Membro,Masculino,Beleza e Cuidados,Shampoo Premium,383.63,9,172.63,3625.3,2024-01-01,19:20:00,Dinheiro,3452.67,38.6,1399.37,9.5
INV-0013,A,São Paulo,Normal,Feminino,Casa e Jardim,Luminária,38.38,10,19.19,402.99,2024-09-05,11:48:00,Cartão de Débito,383.8,38.41,154.79,4.5
INV-0014,A,São Paulo,Membro,Feminino,Esporte e Saúde,Tênis Corrida,268.56,10,134.28,2819.88,2024-10-03,13:45:00,Dinheiro,2685.6,22.69,639.83,5.3
INV-0015,C,Brasília,Normal,Feminino,Moda e Acessórios,Óculos de Sol,69.29,4,13.86,291.02,2024-10-10,13:37:00,Pix,277.16,11.92,34.69,4.1
INV-0016,A,São Paulo,Membro,Masculino,Alimentos e Bebidas,Café Premium,453.66,6,136.1,2858.06,2024-12-08,17:13:00,Cartão de Crédito,2721.96,12.13,346.68,5.4
INV-0017,C,Brasília,Membro,Feminino,Esporte e Saúde,Tênis Corrida,405.67,4,81.13,1703.81,2024-06-30,16:26:00,Pix,1622.68,12.83,218.6,8.0
INV-0018,C,Brasília,Membro,Masculino,Casa e Jardim,Luminária,366.82,2,36.68,770.32,2024-08-17,12:27:00,Pix,733.64,17.46,134.5,5.1
INV-0019,B,Rio de Janeiro,Membro,Masculino,Alimentos e Bebidas,Vinho Tinto,405.93,9,182.67,3836.04,2024-10-03,10:05:00,Pix,3653.37,12.94,496.38,7.9
INV-0020,B,Rio de Janeiro,Normal,Feminino,Alimentos e Bebidas,Chocolate Importado,433.68,1,21.68,455.36,2024-07-18,14:59:00,Cartão de Débito,433.68,14.94,68.03,4.0
INV-0021,B,Rio de Janeiro,Membro,Feminino,Casa e Jardim,Tapete,155.39,1,7.77,163.16,2024-06-09,10:03:00,Cartão de Débito,155.39,27.38,44.67,7.3
INV-0022,C,Brasília,Membro,Masculino,Esporte e Saúde,Suplemento,427.16,2,42.72,897.04,2024-04-30,16:07:00,Cartão de Crédito,854.32,27.85,249.83,8.1
INV-0023,C,Brasília,Membro,Masculino,Esporte e Saúde,Tênis Corrida,332.11,10,166.06,3487.16,2024-04-14,20:45:00,Pix,3321.1,25.68,895.5,9.6
INV-0024,B,Rio de Janeiro,Membro,Feminino,Moda e Acessórios,Tênis,234.04,2,23.4,491.48,2024-10-15,11:04:00,Dinheiro,468.08,10.28,50.52,7.7
INV-0025,C,Brasília,Membro,Feminino,Esporte e Saúde,Tênis Corrida,441.62,4,88.32,1854.8,2024-10-05,14:39:00,Dinheiro,1766.48,21.09,391.18,4.9
INV-0026,A,São Paulo,Membro,Feminino,Beleza e Cuidados,Sérum Facial,139.59,2,13.96,293.14,2024-05-24,19:13:00,Cartão de Débito,279.18,32.27,94.6,4.9
INV-0027,A,São Paulo,Normal,Feminino,Beleza e Cuidados,Shampoo Premium,453.61,1,22.68,476.29,2024-05-21,10:00:00,Dinheiro,453.61,12.77,60.82,6.5
